length,fail_stress
1,2.247
1,2.64
1,2.842
1,2.908
1,3.099
1,3.126
1,3.245
1,3.328
1,3.355
1,3.383
1,3.572
1,3.581
1,3.681
1,3.726
1,3.727
1,3.728
1,3.783
1,3.785
1,3.786
1,3.896
1,3.912
1,3.964
1,4.05
1,4.063
1,4.082
1,4.111
1,4.118
1,4.141
1,4.216
1,4.251
1,4.262
1,4.326
1,4.402
1,4.457
1,4.466
1,4.519
1,4.542
1,4.555
1,4.614
1,4.632
1,4.634
1,4.636
1,4.678
1,4.698
1,4.738
1,4.832
1,4.924
1,5.043
1,5.099
1,5.134
1,5.359
1,5.473
1,5.571
1,5.684
1,5.721
1,5.998
1,6.06
10,1.901
10,2.132
10,2.203
10,2.228
10,2.257
10,2.35
10,2.361
10,2.396
10,2.397
10,2.445
10,2.454
10,2.454
10,2.474
10,2.518
10,2.522
10,2.525
10,2.532
10,2.575
10,2.614
10,2.616
10,2.618
10,2.624
10,2.659
10,2.675
10,2.738
10,2.74
10,2.856
10,2.917
10,2.928
10,2.937
10,2.937
10,2.977
10,2.996
10,3.03
10,3.125
10,3.139
10,3.145
10,3.22
10,3.223
10,3.235
10,3.243
10,3.264
10,3.272
10,3.294
10,3.332
10,3.346
10,3.377
10,3.408
10,3.435
10,3.493
10,3.501
10,3.537
10,3.554
10,3.562
10,3.628
10,3.852
10,3.871
10,3.886
10,3.971
10,4.024
10,4.027
10,4.225
10,4.395
10,5.02
20,1.312
20,1.314
20,1.479
20,1.552
20,1.7
20,1.803
20,1.861
20,1.865
20,1.944
20,1.958
20,1.966
20,1.997
20,2.006
20,2.021
20,2.027
20,2.055
20,2.063
20,2.098
20,2.14
20,2.179
20,2.224
20,2.24
20,2.253
20,2.27
20,2.272
20,2.274
20,2.535
20,2.554
20,2.566
20,2.57
20,2.586
20,2.629
20,2.633
20,2.642
20,2.648
20,2.684
20,2.697
20,2.726
20,2.77
20,2.773
20,2.8
20,2.809
20,2.818
20,2.821
20,2.848
20,2.88
20,2.954
20,3.012
20,3.067
20,3.084
20,3.09
20,3.096
20,3.128
20,3.233
20,3.433
20,3.585
20,3.585
50,1.339
50,1.434
50,1.549
50,1.574
50,1.589
50,1.613
50,1.746
50,1.753
50,1.764
50,1.807
50,1.812
50,1.84
50,1.852
50,1.852
50,1.862
50,1.864
50,1.931
50,1.952
50,1.974
50,2.019
50,2.051
50,2.055
50,2.058
50,2.088
50,2.125
50,2.162
50,2.171
50,2.172
50,2.18
50,2.194
50,2.211
50,2.27
50,2.272
50,2.28
50,2.299
50,2.308
50,2.335
50,2.349
50,2.356
50,2.386
50,2.39
50,2.41
50,2.43
50,2.431
50,2.458
50,2.471
50,2.497
50,2.514
50,2.558
50,2.577
50,2.593
50,2.601
50,2.604
50,2.62
50,2.633
50,2.67
50,2.682
50,2.699
50,2.705
50,2.735
50,2.785
50,2.785
50,3.02
50,3.042
50,3.116
50,3.174